char,name,normalized,codepoint,mufidecode
!,EXCLAMATION MARK,!,21,!
"""",QUOTATION MARK,"""",22,""""
#,NUMBER SIGN,#,23,#
&,AMPERSAND,&,26,&
',APOSTROPHE,',27,'
(,LEFT PARENTHESIS,(,28,(
),RIGHT PARENTHESIS,),29,)
",",COMMA,",",002C,","
-,HYPHEN-MINUS,-,002D,-
.,FULL STOP,.,002E,.
/,SOLIDUS,/,002F,/
0,DIGIT ZERO,0,30,0
1,DIGIT ONE,1,31,1
2,DIGIT TWO,2,32,2
3,DIGIT THREE,3,33,3
4,DIGIT FOUR,4,34,4
5,DIGIT FIVE,5,35,5
6,DIGIT SIX,6,36,6
7,DIGIT SEVEN,7,37,7
8,DIGIT EIGHT,8,38,8
9,DIGIT NINE,9,39,9
:,COLON,:,003A,:
;,SEMICOLON,;,003B,;
<,LESS-THAN SIGN,<,003C,<
=,EQUALS SIGN,=,003D,=
>,GREATER-THAN SIGN,>,003E,>
?,QUESTION MARK,?,003F,?
A,LATIN CAPITAL LETTER A,A,41,A
B,LATIN CAPITAL LETTER B,B,42,B
C,LATIN CAPITAL LETTER C,C,43,C
D,LATIN CAPITAL LETTER D,D,44,D
E,LATIN CAPITAL LETTER E,E,45,E
F,LATIN CAPITAL LETTER F,F,46,F
G,LATIN CAPITAL LETTER G,G,47,G
H,LATIN CAPITAL LETTER H,H,48,H
I,LATIN CAPITAL LETTER I,I,49,I
J,LATIN CAPITAL LETTER J,J,004A,J
K,LATIN CAPITAL LETTER K,K,004B,K
L,LATIN CAPITAL LETTER L,L,004C,L
M,LATIN CAPITAL LETTER M,M,004D,M
N,LATIN CAPITAL LETTER N,N,004E,N
O,LATIN CAPITAL LETTER O,O,004F,O
P,LATIN CAPITAL LETTER P,P,50,P
Q,LATIN CAPITAL LETTER Q,Q,51,Q
R,LATIN CAPITAL LETTER R,R,52,R
S,LATIN CAPITAL LETTER S,S,53,S
T,LATIN CAPITAL LETTER T,T,54,T
U,LATIN CAPITAL LETTER U,U,55,U
V,LATIN CAPITAL LETTER V,V,56,V
W,LATIN CAPITAL LETTER W,W,57,W
X,LATIN CAPITAL LETTER X,X,58,X
Y,LATIN CAPITAL LETTER Y,Y,59,Y
Z,LATIN CAPITAL LETTER Z,Z,005A,Z
_,LOW LINE,_,005F,_
a,LATIN SMALL LETTER A,a,61,a
b,LATIN SMALL LETTER B,b,62,b
c,LATIN SMALL LETTER C,c,63,c
d,LATIN SMALL LETTER D,d,64,d
e,LATIN SMALL LETTER E,e,65,e
f,LATIN SMALL LETTER F,f,66,f
g,LATIN SMALL LETTER G,g,67,g
h,LATIN SMALL LETTER H,h,68,h
i,LATIN SMALL LETTER I,i,69,i
j,LATIN SMALL LETTER J,j,006A,j
k,LATIN SMALL LETTER K,k,006B,k
l,LATIN SMALL LETTER L,l,006C,l
m,LATIN SMALL LETTER M,m,006D,m
n,LATIN SMALL LETTER N,n,006E,n
o,LATIN SMALL LETTER O,o,006F,o
p,LATIN SMALL LETTER P,p,70,p
q,LATIN SMALL LETTER Q,q,71,q
r,LATIN SMALL LETTER R,r,72,r
s,LATIN SMALL LETTER S,s,73,s
t,LATIN SMALL LETTER T,t,74,t
u,LATIN SMALL LETTER U,u,75,u
v,LATIN SMALL LETTER V,v,76,v
w,LATIN SMALL LETTER W,w,77,w
x,LATIN SMALL LETTER X,x,78,x
y,LATIN SMALL LETTER Y,y,79,y
z,LATIN SMALL LETTER Z,z,007A,z
|,VERTICAL LINE,|,007C,|
¬,NOT SIGN,¬,00AC,
Æ,LATIN CAPITAL LETTER AE,Æ,00C6,AE
ß,LATIN SMALL LETTER SHARP S,ß,00DF,s
à,LATIN SMALL LETTER A WITH GRAVE,à,0,a
á,LATIN SMALL LETTER A WITH ACUTE,á,0,a
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,â,0,a
ã,LATIN SMALL LETTER A WITH TILDE,ã,0,a
æ,LATIN SMALL LETTER AE,æ,0,ae
ç,LATIN SMALL LETTER C WITH CEDILLA,ç,0,c
è,LATIN SMALL LETTER E WITH GRAVE,è,0,e
é,LATIN SMALL LETTER E WITH ACUTE,é,0,e
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,ê,00EA,e
ë,LATIN SMALL LETTER E WITH DIAERESIS,ë,00EB,e
ì,LATIN SMALL LETTER I WITH GRAVE,ì,00EC,i
í,LATIN SMALL LETTER I WITH ACUTE,í,00ED,i
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,î,00EE,i
ï,LATIN SMALL LETTER I WITH DIAERESIS,ï,00EF,i
ò,LATIN SMALL LETTER O WITH GRAVE,ò,00F2,o
ó,LATIN SMALL LETTER O WITH ACUTE,ó,00F3,o
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,ô,00F4,o
ù,LATIN SMALL LETTER U WITH GRAVE,ù,00F9,u
ú,LATIN SMALL LETTER U WITH ACUTE,ú,00FA,u
û,LATIN SMALL LETTER U WITH CIRCUMFLEX,û,00FB,u
ü,LATIN SMALL LETTER U WITH DIAERESIS,ü,00FC,u
ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,ÿ,00FF,y
œ,LATIN SMALL LIGATURE OE,œ,153,oe
ũ,LATIN SMALL LETTER U WITH TILDE,ũ,169,u
ſ,LATIN SMALL LETTER LONG S,ſ,017F,s
Α,GREEK CAPITAL LETTER ALPHA,Α,391,A
Β,GREEK CAPITAL LETTER BETA,Β,392,B
Γ,GREEK CAPITAL LETTER GAMMA,Γ,393,G
Δ,GREEK CAPITAL LETTER DELTA,Δ,394,D
Ε,GREEK CAPITAL LETTER EPSILON,Ε,395,E
Θ,GREEK CAPITAL LETTER THETA,Θ,398,TH
Ι,GREEK CAPITAL LETTER IOTA,Ι,399,I
Λ,GREEK CAPITAL LETTER LAMDA,Λ,039B,L
Μ,GREEK CAPITAL LETTER MU,Μ,039C,M
Ν,GREEK CAPITAL LETTER NU,Ν,039D,N
Ο,GREEK CAPITAL LETTER OMICRON,Ο,039F,O
Π,GREEK CAPITAL LETTER PI,Π,03A0,P
Ρ,GREEK CAPITAL LETTER RHO,Ρ,03A1,R
Σ,GREEK CAPITAL LETTER SIGMA,Σ,03A3,S
Τ,GREEK CAPITAL LETTER TAU,Τ,03A4,T
Υ,GREEK CAPITAL LETTER UPSILON,Υ,03A5,U
Ω,GREEK CAPITAL LETTER OMEGA,Ω,03A9,O
ά,GREEK SMALL LETTER ALPHA WITH TONOS,ά,03AC,a
έ,GREEK SMALL LETTER EPSILON WITH TONOS,έ,03AD,e
α,GREEK SMALL LETTER ALPHA,α,03B1,a
δ,GREEK SMALL LETTER DELTA,δ,03B4,d
θ,GREEK SMALL LETTER THETA,θ,03B8,th
ι,GREEK SMALL LETTER IOTA,ι,03B9,i
κ,GREEK SMALL LETTER KAPPA,κ,03BA,k
λ,GREEK SMALL LETTER LAMDA,λ,03BB,l
μ,GREEK SMALL LETTER MU,μ,03BC,m
ν,GREEK SMALL LETTER NU,ν,03BD,n
ο,GREEK SMALL LETTER OMICRON,ο,03BF,o
π,GREEK SMALL LETTER PI,π,03C0,p
ρ,GREEK SMALL LETTER RHO,ρ,03C1,r
ς,GREEK SMALL LETTER FINAL SIGMA,ς,03C2,s
σ,GREEK SMALL LETTER SIGMA,σ,03C3,s
τ,GREEK SMALL LETTER TAU,τ,03C4,t
χ,GREEK SMALL LETTER CHI,χ,03C7,kh
ύ,GREEK SMALL LETTER UPSILON WITH TONOS,ύ,03CD,u
ώ,GREEK SMALL LETTER OMEGA WITH TONOS,ώ,03CE,o
ϛ,GREEK SMALL LETTER STIGMA,ϛ,03DB,st
ẽ,LATIN SMALL LETTER E WITH TILDE,ẽ,1EBD,e
ỽ,LATIN SMALL LETTER MIDDLE-WELSH V,v,1EFD,v
ἀ,GREEK SMALL LETTER ALPHA WITH PSILI,ἀ,1F00,a
Ἄ,GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA,Ἄ,1F0C,A
ἐ,GREEK SMALL LETTER EPSILON WITH PSILI,ἐ,1F10,e
ὁ,GREEK SMALL LETTER OMICRON WITH DASIA,ὁ,1F41,o
ὶ,GREEK SMALL LETTER IOTA WITH VARIA,ὶ,1F76,i
ὸ,GREEK SMALL LETTER OMICRON WITH VARIA,ὸ,1F78,o
ῳ,GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI,ῳ,1FF3,o
’,RIGHT SINGLE QUOTATION MARK,’,2019,'
,,,E8BF,qet
